ZCTA5CE20,rat_sightings,population,poverty_rate,borough,pop_white,pop_black,rats_per_1000,white_prop,black_prop,white_pct,black_pct,poverty_pct
11373,769,98403,0.1479840859685821,Queens,15094,3004,7.814802394235949,0.15338963242990558,0.030527524567340425,15.338963242990559,3.0527524567340425,14.79840859685821
11374,745,46989,0.1299272253878823,Queens,24333,3171,15.854774521696566,0.5178446019281109,0.06748387920577156,51.78446019281109,6.748387920577156,12.992722538788229
11375,692,76839,0.0870276995612599,Queens,45470,4164,9.005843386821796,0.5917567901716576,0.05419123101549994,59.17567901716576,5.419123101549994,8.70276995612599
11377,1565,81690,0.1110454231944033,Queens,37968,4231,19.157791651364917,0.4647814910025707,0.051793365160974415,46.47814910025707,5.179336516097441,11.10454231944033
11378,1126,36392,0.1268358920356925,Brooklyn,22534,990,30.94086612442295,0.6192020224225104,0.02720378105078039,61.920202242251044,2.720378105078039,12.683589203569252
11379,676,36773,0.0806189597731215,Queens,27037,791,18.383052783292086,0.7352405297364915,0.021510347265656867,73.52405297364915,2.151034726565687,8.061895977312151
11385,6202,101704,0.1198443810294945,Brooklyn,66772,7373,60.98088570754346,0.6565326830803115,0.07249469047431763,65.65326830803116,7.249469047431763,11.98443810294945
11411,74,20540,0.0734238221697649,Queens,1206,17992,3.602726387536514,0.058714703018500486,0.8759493670886076,5.8714703018500485,87.59493670886076,7.34238221697649
11412,249,39828,0.1041183001917835,Queens,1548,33145,6.251883097318469,0.0388671286532088,0.8322034749422517,3.88671286532088,83.22034749422517,10.41183001917835
11413,191,45965,0.0607798918398178,Queens,1742,40305,4.155335581420647,0.037898400957250084,0.8768628304144458,3.7898400957250082,87.68628304144458,6.07798918398178
11414,404,31308,0.0691516545291938,Brooklyn,23984,2615,12.904050083045867,0.7660661811677526,0.08352497764149738,76.60661811677527,8.352497764149739,6.91516545291938
11415,69,21154,0.0999002896348701,Queens,11544,2221,3.261794459676657,0.5457123948189467,0.1049919636948095,54.57123948189467,10.49919636948095,9.99002896348701
11416,498,25919,0.1820943183145761,Brooklyn,7003,2456,19.213704232416372,0.27018789305142943,0.09475674215826228,27.018789305142942,9.475674215826228,18.20943183145761
11417,766,30578,0.1227994847574066,Brooklyn,9948,3761,25.05069003858984,0.32533193799463667,0.12299692589443391,32.53319379946367,12.29969258944339,12.27994847574066
11418,240,35481,0.0998477142775048,Queens,12370,4625,6.764183647586032,0.34863729883599676,0.13035145570868917,34.863729883599675,13.035145570868917,9.98477142775048
11419,317,47441,0.1163127207728646,Queens,5135,8396,6.681983937943972,0.10823970826921861,0.17697771969393564,10.823970826921862,17.697771969393564,11.63127207728646
11420,303,49415,0.1112959169185209,Queens,7395,14037,6.1317413740766975,0.14965091571385206,0.284063543458464,14.965091571385205,28.406354345846403,11.12959169185209
11421,364,40612,0.1048009078798046,Brooklyn,16330,3781,8.962868117797695,0.4020979020979021,0.09310056141042057,40.20979020979021,9.310056141042057,10.48009078798046
11422,63,33757,0.0952352643937817,Queens,3962,28126,1.8662795864561426,0.11736824954824185,0.83319015315342,11.736824954824185,83.319015315342,9.52352643937817
11423,105,28534,0.1195422093064973,Queens,4048,10069,3.6798205649400715,0.14186584425597532,0.3528772692226817,14.186584425597532,35.28772692226817,11.95422093064973
11426,78,19411,0.0751173708920187,Queens,6087,1403,4.018340116428829,0.3135850806243882,0.07227860491473906,31.358508062438823,7.227860491473906,7.51173708920187
11427,80,24607,0.1083702997388168,Queens,5488,6738,3.2511074084610074,0.22302596822042509,0.2738245214776283,22.30259682204251,27.38245214776283,10.83702997388168
11428,41,19028,0.0964423943587296,Queens,3354,4790,2.1547193609417703,0.17626655455118773,0.25173428631490435,17.626655455118772,25.173428631490435,9.64423943587296
11429,109,26832,0.0940701413295446,Queens,2661,19505,4.0623136553369115,0.09917262969588551,0.7269305307096005,9.91726296958855,72.69305307096005,9.40701413295446
